caldt,sprtrn
20090128,0.033558
20090129,-0.033120
20090130,-0.022789
20090202,-0.000533
20090203,0.015834
20090204,-0.007489
20090205,0.016366
20090206,0.026896
20090209,0.001485
20090210,-0.049121
20090211,0.007955
20090212,0.001739
20090213,-0.009998
20090217,-0.045559
20090218,-0.000950
20090219,-0.012024
20090220,-0.011413
20090223,-0.034699
20090224,0.040103
20090225,-0.010658
20090226,-0.015780
20090227,-0.023564
20090302,-0.046620
20090303,-0.006407
20090304,0.023753
20090305,-0.042532
20090306,0.001216
20090309,-0.010024
20090310,0.063663
20090311,0.002446
20090312,0.040729
20090313,0.007739
20090316,-0.003516
20090317,0.032140
20090318,0.020858
20090319,-0.012979
20090320,-0.019769
20090323,0.070758
20090324,-0.020415
20090325,0.009626
20090326,0.023320
20090327,-0.020316
20090330,-0.034819
20090331,0.013130
20090401,0.016557
20090402,0.028727
20090403,0.009732
20090406,-0.008332
20090407,-0.023855
20090408,0.011783
20090409,0.038053
20090413,0.002533
20090414,-0.020065
20090415,0.012549
20090416,0.015539
20090417,0.004969
20090420,-0.042790
20090421,0.021252
20090422,-0.007682
20090423,0.009922
20090424,0.016797
20090427,-0.010067
20090428,-0.002740
20090429,0.021610
20090430,-0.000950
20090501,0.005396
20090504,0.033868
20090505,-0.003792
20090506,0.017404
20090507,-0.013202
20090508,0.024069
20090511,-0.021512
20090512,-0.000979
20090513,-0.026895
20090514,0.010352
20090515,-0.011410
20090518,0.030389
20090519,-0.001737
20090520,-0.005131
20090521,-0.016758
20090522,-0.001497
20090526,0.026302
20090527,-0.018971
20090528,0.015419
20090529,0.013575
20090601,0.025818
20090602,0.001983
20090603,-0.013739
20090604,0.011484
20090605,-0.002515
20090608,-0.001011
20090609,0.003503
20090610,-0.003480
20090611,0.006112
20090612,0.001397
20090615,-0.023769
20090616,-0.012720
20090617,-0.001382
20090618,0.008411
20090619,0.003114
20090622,-0.030600
20090623,0.002307
20090624,0.006524
20090625,0.021444
20090626,-0.001478
20090629,0.009065
20090630,-0.008531
20090701,0.004362
20090702,-0.029145
20090706,0.002566
20090707,-0.019684
20090708,-0.001669
20090709,0.003547
20090710,-0.004022
20090713,0.024934
20090714,0.005316
20090715,0.029630
20090716,0.008642
20090717,-0.000383
20090720,0.011432
20090721,0.003627
20090722,-0.000534
20090723,0.023290
20090724,0.003042
20090727,0.002982
20090728,-0.002606
20090729,-0.004563
20090730,0.011896
20090731,0.000740
20090803,0.015342
20090804,0.003012
20090805,-0.002914
20090806,-0.005625
20090807,0.013439
20090810,-0.003345
20090811,-0.012660
20090812,0.011525
20090813,0.006880
20090814,-0.008531
20090817,-0.024261
20090818,0.010146
20090819,0.006861
20090820,0.010949
20090821,0.018623
20090824,-0.000546
20090825,0.002369
20090826,0.000117
20090827,0.002782
20090828,-0.001988
20090831,-0.008076
20090901,-0.022124
20090902,-0.003296
20090903,0.008535
20090904,0.013118
20090908,0.008845
20090909,0.007782
20090910,0.010422
20090911,-0.001350
20090914,0.006339
20090915,0.003135
20090916,0.015324
20090917,-0.003060
20090918,0.002637
20090921,-0.003407
20090922,0.006575
20090923,-0.010068
20090924,-0.009511
20090925,-0.006091
20090928,0.017810
20090929,-0.002230
20090930,-0.003328
20091001,-0.025760
20091002,-0.004506
20091005,0.014875
20091006,0.013705
20091007,0.002712
20091008,0.007470
20091009,0.005641
20091012,0.004386
20091013,-0.002788
20091014,0.017546
20091015,0.004157
20091016,-0.008098
20091019,0.009405
20091020,-0.006239
20091021,-0.008854
20091022,0.010644
20091023,-0.012179
20091026,-0.011717
20091027,-0.003318
20091028,-0.019541
20091029,0.022520
20091030,-0.028065
20091102,0.006456
20091103,0.002426
20091104,0.001043
20091105,0.019236
20091106,0.002503
20091109,0.022239
20091110,-0.000064
20091111,0.005032
20091112,-0.010259
20091113,0.005739
20091116,0.014468
20091117,0.000919
20091118,-0.000468
20091119,-0.013426
20091120,-0.003215
20091123,0.013616
20091124,-0.000533
20091125,0.004504
20091127,-0.017233
20091130,0.003793
20091201,0.012075
20091202,0.000343
20091203,-0.008402
20091204,0.005509
20091207,-0.002468
20091208,-0.010252
20091209,0.003672
20091210,0.005840
20091211,0.003683
20091214,0.006959
20091215,-0.005547
20091216,0.001128
20091217,-0.011811
20091218,0.005830
20091221,0.010504
20091222,0.003564
20091223,0.002299
20091224,0.005256
20091228,0.001154
20091229,-0.001401
20091230,0.000195
20091231,-0.010050
20100104,0.016043
20100105,0.003116
20100106,0.000546
20100107,0.004001
20100108,0.002882
20100111,0.001747
20100112,-0.009381
20100113,0.008326
20100114,0.002427
20100115,-0.010823
20100119,0.012500
20100120,-0.010598
20100121,-0.018945
20100122,-0.022141
20100125,0.004598
20100126,-0.004203
20100127,0.004880
20100128,-0.011818
20100129,-0.009829
20100201,0.014266
20100202,0.012973
20100203,-0.005474
20100204,-0.031141
20100205,0.002897
20100208,-0.008863
20100209,0.013040
20100210,-0.002233
20100211,0.009680
20100212,-0.002745
20100216,0.018001
20100217,0.004238
20100218,0.006585
20100219,0.002187
20100222,-0.001046
20100223,-0.012103
20100224,0.009720
20100225,-0.002081
20100226,0.001405
20100301,0.010159
20100302,0.002330
20100303,0.000429
20100304,0.003736
20100305,0.014008
20100308,-0.000176
20100309,0.001713
20100310,0.004525
20100311,0.004042
20100312,-0.000217
20100315,0.000452
20100316,0.007779
20100317,0.005822
20100318,-0.000326
20100319,-0.005087
20100322,0.005095
20100323,0.007171
20100324,-0.005493
20100325,-0.001704
20100326,0.000738
20100329,0.005683
20100330,0.000043
20100331,-0.003273
20100401,0.007414
20100405,0.007928
20100406,0.001684
20100407,-0.005877
20100408,0.003374
20100409,0.006684
20100412,0.001767
20100413,0.000685
20100414,0.011150
20100415,0.000843
20100416,-0.016127
20100419,0.004521
20100420,0.008058
20100421,-0.001019
20100422,0.002264
20100423,0.007124
20100426,-0.004296
20100427,-0.023382
20100428,0.006463
20100429,0.012943
20100430,-0.016648
20100503,0.013121
20100504,-0.023838
20100505,-0.006561
20100506,-0.032378
20100507,-0.015308
20100510,0.043974
20100511,-0.003397
20100512,0.013740
20100513,-0.012145
20100514,-0.018800
20100517,0.001109
20100518,-0.014196
20100519,-0.005130
20100520,-0.038976
20100521,0.015024
20100524,-0.012908
20100525,0.000354
20100526,-0.005661
20100527,0.032876
20100528,-0.012375
20100601,-0.017165
20100602,0.025843
20100603,0.004051
20100604,-0.034411
20100607,-0.013532
20100608,0.010976
20100609,-0.005942
20100610,0.029507
20100611,0.004380
20100614,-0.001805
20100615,0.023494
20100616,-0.000556
20100617,0.001283
20100618,0.001317
20100621,-0.003857
20100622,-0.016071
20100623,-0.002985
20100624,-0.016803
20100625,0.002859
20100628,-0.002034
20100629,-0.031017
20100630,-0.010113
20100701,-0.003240
20100702,-0.004662
20100706,0.005359
20100707,0.031331
20100708,0.009413
20100709,0.007204
20100712,0.000733
20100713,0.015379
20100714,-0.000155
20100715,0.001196
20100716,-0.028820
20100719,0.005982
20100720,0.011417
20100721,-0.012820
20100722,0.022513
20100723,0.008220
20100726,0.011200
20100727,-0.001049
20100728,-0.006922
20100729,-0.004159
20100730,0.000064
20100802,0.022023
20100803,-0.004796
20100804,0.006051
20100805,-0.001269
20100806,-0.003704
20100809,0.005483
20100810,-0.005967
20100811,-0.028179
20100812,-0.005379
20100813,-0.004024
20100816,0.000120
20100817,0.012192
20100818,0.001483
20100819,-0.016935
20100820,-0.003663
20100823,-0.004040
20100824,-0.014512
20100825,0.003289
20100826,-0.007685
20100827,0.016587
20100830,-0.014719
20100831,0.000391
20100901,0.029505
20100902,0.009081
20100903,0.013219
20100907,-0.011471
20100908,0.006439
20100909,0.004832
20100910,0.004863
20100913,0.011131
20100914,-0.000713
20100915,0.003541
20100916,-0.000364
20100917,0.000827
20100920,0.015210
20100921,-0.002564
20100922,-0.004825
20100923,-0.008331
20100924,0.021194
20100927,-0.005667
20100928,0.004850
20100929,-0.002588
20100930,-0.003084
20101001,0.004416
20101004,-0.008035
20101005,0.020861
20101006,-0.000672
20101007,-0.001647
20101008,0.006122
20101011,0.000146
20101012,0.003819
20101013,0.007121
20101014,-0.003641
20101015,0.002028
20101018,0.007244
20101019,-0.015877
20101020,0.010524
20101021,0.001774
20101022,0.002389
20101025,0.002147
20101026,0.000017
20101027,-0.002691
20101028,0.001125
20101029,-0.000439
20101101,0.000947
20101102,0.007759
20101103,0.003678
20101104,0.019283
20101105,0.003923
